topic ,evidence_1,evidence_2,label,reason,evidence_1_wikipedia_article_name,evidence_2_wikipedia_article_name,evidence_1_wikipedia_url,evidence_2_wikipedia_url
We should further exploit nuclear power,"The Potomac Alliance was a coalition of concerned citizens from Washington, D.C. who opposed reliance on nuclear power and favored the use of safe, clean, renewable energy alternatives.","According to a TNS Gallup survey conducted in January 2010, 48% of Finns had a positive view of nuclear power, and 17% were negative [REF].",2,One candidate has distinctively descriptive nature that cannot be used in an argumentative way,Anti-nuclear groups in the United States,Nuclear energy policy by country,https://en.wikipedia.org/wiki/Anti-nuclear_groups_in_the_United_States,https://en.wikipedia.org/wiki/Nuclear_energy_policy_by_country
We should support water privatization,Oscar Olivera was a prominent leader in the 2001 protests in Cochabamba against the privatization of water in Bolivia and has also become a leading figure.,"In Italy, in June 2011 a law favoring water privatization was repealed by an overwhelming majority of Italians through a referendum [REF].",2,One candidate has distinctively descriptive nature that cannot be used in an argumentative way,Bolivian gas conflict,Water privatization,https://en.wikipedia.org/wiki/Bolivian_gas_conflict,https://en.wikipedia.org/wiki/Water_privatization
We should further exploit nuclear power,"Jacobson's analyses show that ""nuclear power results in up to 25 times more carbon emissions than wind energy, when reactor construction, uranium refining and transport are considered"" [REF].","Kristin Shrader-Frechette has said ""if reactors were safe, nuclear industries would not demand government-guaranteed, accident-liability protection, as a condition for their generating electricity"" [REF].",1,prefer study results to mere statements,Mark Z. Jacobson,Nuclear safety,https://en.wikipedia.org/wiki/Mark_Z._Jacobson,https://en.wikipedia.org/wiki/Nuclear_safety
We should further exploit nuclear power,Proponents of nuclear energy contend that nuclear power is a sustainable energy source that reduces carbon emissions and increases energy security by decreasing dependence on imported energy sources [REF].,"A study of life-cycle emissions by Swedish utility Vattenfall reported that nuclear power produced 3.3 g CO2/kWh, wind power produced 10, natural gas produced 400 and coal 700 [REF].",2,prefer study results to mere statements,Nuclear power,Comparisons of life-cycle greenhouse-gas emissions,https://en.wikipedia.org/wiki/Nuclear_power,https://en.wikipedia.org/wiki/Comparisons_of_life-cycle_greenhouse-gas_emissions
We should legalize the growing of coca leaf,"Addiction or other deleterious effects from the consumption of the leaf in its natural form have not been documented in over a 5,000 year time spand,thus leading to the logical conclusion that coca left in its natural form causes no addictive properties at all [REF].","Bolivia stated that ""the coca leaf is not, in and of itself, a narcotic drug or psychotropic substance"" and stressed that its ""legal system recognizes the ancestral nature of the licit use of the coca leaf, which, for much of Bolivia's population, dates back over centuries.""[REF][REF] .",2,"Prefer statements attributed to a person/group/entity (although ""Bolivia"" is a weak attributuion)",Coca,Coca,https://en.wikipedia.org/wiki/Coca,https://en.wikipedia.org/wiki/Coca
We should legalize the growing of coca leaf,"In 1609, Padre Blas Valera wrote: Coca protects the body from many ailments, and our doctors use it in powdered form to reduce the swelling of wounds, to strengthen broken bones, to expel cold from the body or prevent it from entering, and to cure rotten wounds or sores that are full of maggots.","Furthermore, indigenous cultures living in the Altiplano, such as the Aymaras, use the coca leaf (which they dub the ""millenary leaf"") in many of their cultural traditions, notably for its medicinal qualities in alleviating the feeling of hunger, fatigue and headaches symptomatic of altitude sicknesses.",2,Prefer modern examples to medieval/ancient,Cocaine,Coca eradication,https://en.wikipedia.org/wiki/Cocaine,https://en.wikipedia.org/wiki/Coca_eradication
We should ban human cloning,"Australia had prohibited human cloning,[REF] though as of December 2006, a bill legalising therapeutic cloning and the creation of human embryos for stem cell research passed the House of Representatives.","According to the Paul campaign, Paul received a 100% pro-life score on a Kentucky Right to Life survey[REF] and indicated on the survey that he opposed human cloning.",1,Political opinion,Human cloning,Rand Paul,https://en.wikipedia.org/wiki/Human_cloning,https://en.wikipedia.org/wiki/Rand_Paul
We should legalize the growing of coca leaf,"Addiction or other deleterious effects from the consumption of the leaf in its natural form have not been documented in over a 5,000 year time spand,thus leading to the logical conclusion that coca left in its natural form causes no addictive properties at all [REF].","Furthermore, indigenous cultures living in the Altiplano, such as the Aymaras, use the coca leaf (which they dub the ""millenary leaf"") in many of their cultural traditions, notably for its medicinal qualities in alleviating the feeling of hunger, fatigue and headaches symptomatic of altitude sicknesses.",2,"Hard to decide, one is not attributed to anyone, and the second is weak ",Coca,Coca eradication,https://en.wikipedia.org/wiki/Coca,https://en.wikipedia.org/wiki/Coca_eradication
We should ban human cloning,"Democratic transhumanists, such as American sociologist James Hughes, counter that many influential members of the American Establishment are bioconservatives strongly opposed to human enhancement, as demonstrated by President Bush's Council on Bioethics's proposed international treaty prohibiting human cloning and germline engineering.","In 2005, in a divided vote, ""Member States were called on to adopt all measures necessary to prohibit all forms of human cloning in as much as they are incompatible with human dignity and the protection of human life."" .",2,"Hard to decide, both are bad",New World Order (conspiracy theory),Stem cell research policy,https://en.wikipedia.org/wiki/New_World_Order_(conspiracy_theory),https://en.wikipedia.org/wiki/Stem_cell_research_policy
We should increase ecotourism,"Eco-tourism is by far the most important source of tourism income in La Paz as people come to enjoy its marine wonders, as well as its diverse and often unique terrestrial species endemic to the region.","Eco-tourism is the most viable and sustainable option for the forests of Kwazulu-Natal, and several government, private and non-government projects to ensure this are underway or in the planning stages [REF].",2,"Hard to decide, they say basically the same but about different places","La Paz, Baja California Sur",Forests of KwaZulu-Natal,"https://en.wikipedia.org/wiki/La_Paz,_Baja_California_Sur",https://en.wikipedia.org/wiki/Forests_of_KwaZulu-Natal
We should protect endangered species,"[REF] The Japanese government claims that it strongly supports the protection of endangered species, and the scientific whaling is essential to gather information about the status of the various populations.","Kazakhstan in November 2010 reaffirmed a ban on hunting saiga antelopes, and extended this ban until 2021, as the Central Asian nation seeks to save the endangered species [REF].",0,Just don't think any of these examples can count as evidence in the debate.,Whaling in Japan,Saiga Antelope,https://en.wikipedia.org/wiki/Whaling_in_Japan,https://en.wikipedia.org/wiki/Saiga_Antelope
We should legalize same sex marriage,A 2004 poll by ELLE found that 64% of those polled in France supported same-sex marriage and 49% supported adoption by same-sex couples [REF].,"In the aftermath of Proposition 8 in California, which received large Mormon support, Osmond stated that he opposes same-sex marriage but that he condemns homophobia.",1,opinions of larger groups,Status of same-sex marriage,Donny Osmond,https://en.wikipedia.org/wiki/Status_of_same-sex_marriage,https://en.wikipedia.org/wiki/Donny_Osmond
We should ban the sale of violent video games to minors,"During the trial, Malvo's defense attorney Craig S. Cooley said that violent video games had contributed significantly to Malvo's mind state and willingness to commit murder.",A recent long-term outcome study of youth found no long-term relationship between playing violent video games or watching violent television and youth violence or bullying [REF] .,2,study > expert> opinion > paid opinion,Lee Boyd Malvo,Media violence research,https://en.wikipedia.org/wiki/Lee_Boyd_Malvo,https://en.wikipedia.org/wiki/Media_violence_research
The free market should be protected,"Critics argue that the so-called free market reform policies - which the Bank advocates in many cases - in practice are often harmful to economic development if implemented badly, too quickly (""shock therapy""), in the wrong sequence, or in very weak, uncompetitive economies [REF].","Rothbard ""was the leading theorist of radical Lockean libertarianism combined with Austrian economics, which demonstrates that free markets produce widespread prosperity, social cooperation, and economic coordination without monopoly, depression, or inflation-evils whose roots are to be found in government intervention.""[REF]",2,Names individuals or experts are more reliable,World Bank Group,Murray Rothbard,https://en.wikipedia.org/wiki/World_Bank_Group,https://en.wikipedia.org/wiki/Murray_Rothbard
We should legalize same sex marriage,"The California Supreme Court overturned California's ban on gay marriages on May 15, stating that depriving gays and lesbians of the same rights as other citizens is unconstitutional.","In his 2002 Senate campaign, Coleman pledged support for an amendment to the United States Constitution that would ban any state from legalizing same sex marriage.",1,Names individuals or experts are more reliable,Pillsbury Winthrop Shaw Pittman,Norm Coleman,https://en.wikipedia.org/wiki/Pillsbury_Winthrop_Shaw_Pittman,https://en.wikipedia.org/wiki/Norm_Coleman
The free market should be protected,The Council of the Americas argues that free markets and private enterprise offer the most effective means to achieve regional economic growth and prosperity.,In a paper dated May 1983 Douglas argued that an unregulated market led to unhealthy concentrations of market power [REF].,2,Hard to determine credibility,Council of the Americas,Rogernomics,https://en.wikipedia.org/wiki/Council_of_the_Americas,https://en.wikipedia.org/wiki/Rogernomics
We should legalize gambling,Supporters of legalizing gambling said it would attract investment to the islands and create job opportunities for local residents.,"During the early 20th century, reform movements in the United States made most forms of gambling illegal in most communities [REF].",2,"Expertise, personalization of the speaker",Penghu National Scenic Area,Free State of Galveston,https://en.wikipedia.org/wiki/Penghu_National_Scenic_Area,https://en.wikipedia.org/wiki/Free_State_of_Galveston
We should legalize gambling,"Critics of gambling claim it leads to increased political corruption, compulsive gambling and higher crime rates.","In 2003, Carroll actively lobbied the General Assembly to legalize casino-style gambling at the state's horse racetracks [REF].",2,"Expertise, personalization of the speaker",Gambling in the United States,Julian Carroll,https://en.wikipedia.org/wiki/Gambling_in_the_United_States,https://en.wikipedia.org/wiki/Julian_Carroll
We should end censorship,Censorship is prohibited by the Icelandic Constitution and there is a strong tradition of protecting freedom of expression that extends to the use of the Internet [REF].,"There has been a real focus on ensuring that censorship is to the benefit of the child, by inserting definitions of ""child abuse"", and ""child pornography"".",1,"Expertise, personalization of the speaker",Internet censorship by country,"Films and Publications Act, 1996",https://en.wikipedia.org/wiki/Internet_censorship_by_country,"https://en.wikipedia.org/wiki/Films_and_Publications_Act,_1996"
We should legalize same sex marriage,A 2004 poll by ELLE found that 64% of those polled in France supported same-sex marriage and 49% supported adoption by same-sex couples [REF].,"In the aftermath of Proposition 8 in California, which received large Mormon support, Osmond stated that he opposes same-sex marriage but that he condemns homophobia.",1,full information/facts,Status of same-sex marriage,Donny Osmond,https://en.wikipedia.org/wiki/Status_of_same-sex_marriage,https://en.wikipedia.org/wiki/Donny_Osmond
We should legalize gambling,"Based on these figures and the arguments that gambling promotes immorality, it is evident that gambling can be a problem [REF].",Supporters of legalizing gambling said it would attract investment to the islands and create job opportunities for local residents.,2,full information/facts,Impact of Native American gaming,Penghu National Scenic Area,https://en.wikipedia.org/wiki/Impact_of_Native_American_gaming,https://en.wikipedia.org/wiki/Penghu_National_Scenic_Area
We should further exploit nuclear power,"An article published in the Proceedings of the National Academy of Sciences concluded that ""Iran's claim to need nuclear power to preserve exports is genuine.""[REF] .","Moreover, says the report, it is clear that nuclear power development cannot keep up with the pace of renewable energy commercialization [REF].",1,full information/facts,Views on the nuclear program of Iran,World Nuclear Industry Status Report,https://en.wikipedia.org/wiki/Views_on_the_nuclear_program_of_Iran,https://en.wikipedia.org/wiki/World_Nuclear_Industry_Status_Report
We should end mining,"2001: Became a founding member of the International Council on Mining and Metals to strengthen the contribution of mining, minerals and metals to sustainable development.","In North Idaho, the Idaho Conservation League has worked to clean up residual mining pollution in Lake Coeur d'Alene [REF].",2,"Grammer, spelling or jibrish",Newmont Mining Corporation,Idaho Conservation League,https://en.wikipedia.org/wiki/Newmont_Mining_Corporation,https://en.wikipedia.org/wiki/Idaho_Conservation_League
We should legalize gambling,Ein Fernsehinterview mit dem Philosophen Peter Koslowski zur Finanzmarktkrise (Unleashed Gambling.,"On the issue of a proposed raffle at Temple Neve Shalom in Metuchen, Hershel issued the following list of objections: ""Gambling is morally objectionable because it encourages the unworthy desire of obtaining something without earning or paying fair value for it.",2,"Grammer, spelling or jibrish",Peter Koslowski,Hershel Matt,https://en.wikipedia.org/wiki/Peter_Koslowski,https://en.wikipedia.org/wiki/Hershel_Matt
We should further exploit nuclear power,"Moreover, says the report, it is clear that nuclear power development cannot keep up with the pace of renewable energy commercialization [REF].","According to a TNS Gallup survey conducted in January 2010, 48% of Finns had a positive view of nuclear power, and 17% were negative [REF].",2,"Grammer, spelling or jibrish",World Nuclear Industry Status Report,Nuclear energy policy by country,https://en.wikipedia.org/wiki/World_Nuclear_Industry_Status_Report,https://en.wikipedia.org/wiki/Nuclear_energy_policy_by_country
We should end mining,Financial Planning Manager Raul Jacob said that the government would continue to support new mining projects like the US$1 billion Tia Maria copper mine.,The vast variety of toxic chemicals released by mining activities can harm animals and aquatic life as well as their habitat.,2,Generality,"Peruvian general election, 2011",Land pollution,"https://en.wikipedia.org/wiki/Peruvian_general_election,_2011",https://en.wikipedia.org/wiki/Land_pollution
We should abolish homework,At least one study has found resource rooms focusing on homework completion are an effective delivery model to remediate instruction and build academic skills [REF].,"More recently, Kohn has been critical of the place homework holds in the American classroom, noting that research does not support claims of any benefit to homework, academically or otherwise.",2,Generality,Resource room,Alfie Kohn,https://en.wikipedia.org/wiki/Resource_room,https://en.wikipedia.org/wiki/Alfie_Kohn
We should subsidize recycling,"The University of Oregon, located in Eugene, Oregon has a campus recycling program that has made great strides in making a cleaner campus [REF].","In a 1996 article in The New York Times, John Tierney claimed that government mandated recycling wastes more resources than it saves [REF].",2,Generality,Sustainability at American Colleges and Universities,Recycling in the United States,https://en.wikipedia.org/wiki/Sustainability_at_American_Colleges_and_Universities,https://en.wikipedia.org/wiki/Recycling_in_the_United_States
We should abolish homework,"By the end of the Cold War in the early 1990s, the consensus in American education was overwhelmingly in favor of issuing homework to students of all grade levels [REF].","There is research supporting the idea that homework is of little educational value, and that for young children (i.e., 14 and under) it may have a negative effect on learning [REF].",2,Past vs future,Homework,Homework,https://en.wikipedia.org/wiki/Homework,https://en.wikipedia.org/wiki/Homework
We should further exploit nuclear power,"At the time, demand for electricity was increasing more than 10 percent per year on Long Island and the Atomic Energy Commission was strongly pushing all power companies to use nuclear power [REF].","Venezuela - Venezuelan President Hugo Chavez announced a halt to freeze all nuclear power development projects for peaceful means, which included design of a nuclear power plant for which a contract had been made with Russia [REF].",2,Past vs future,Shoreham Nuclear Power Plant,International reaction to the Fukushima Daiichi nuclear disaster,https://en.wikipedia.org/wiki/Shoreham_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/International_reaction_to_the_Fukushima_Daiichi_nuclear_disaster
We should prohibit flag burning,Wyden has consistently opposed a constitutional amendment to ban flag desecration.,"The divisive issue of flag desecration as a form of protest first came before the Supreme Court in Street v. New York, .",1,Clear polarity,Ron Wyden,First Amendment to the United States Constitution,https://en.wikipedia.org/wiki/Ron_Wyden,https://en.wikipedia.org/wiki/First_Amendment_to_the_United_States_Constitution
We should legalize same sex marriage,"In 2004, The Daily Free Press reported from inside the State House as the Legislature debated a constitutional amendment to ban gay marriage.","A 2004 Ifop poll found 64% of respondents in support of same-sex marriage, with 49% supporting adoption rights [REF].",2,Clear polarity,The Daily Free Press,Same-sex marriage in France,https://en.wikipedia.org/wiki/The_Daily_Free_Press,https://en.wikipedia.org/wiki/Same-sex_marriage_in_France
We should end censorship,"Google claimed that some censorship is necessary in order to keep the Chinese government from blocking Google entirely, as occurred in 2002 [REF].","The Society of Professional Journalists' Freedom of Information chairman called the censorship ""immoral, un-American, irresponsible and not fit for education.""[REF] .",2,decisive or strong words pro/con the topic,Criticism of Google,"Stevenson High School (Lincolnshire, Illinois)",https://en.wikipedia.org/wiki/Criticism_of_Google,"https://en.wikipedia.org/wiki/Stevenson_High_School_(Lincolnshire,_Illinois)"
We should further exploit nuclear power,"Just 22% agreed that ""nuclear power is relatively safe and an important source of electricity, and we should build more nuclear power plants"".","For example, the 1976 Ranger Inquiry report stated that ""The nuclear power industry is unintentionally contributing to an increased risk of nuclear war.",2,decisive or strong words pro/con the topic,Nuclear power debate,Anti-nuclear movement in Australia,https://en.wikipedia.org/wiki/Nuclear_power_debate,https://en.wikipedia.org/wiki/Anti-nuclear_movement_in_Australia
We should legalize same sex marriage,"In 2004, voters approved a state constitutional amendment banning same-sex marriage.",A 2003 Gallup poll found that 58% of respondents supported same-sex marriage [REF].,1,significant/unsignificant percentage,Same-sex unions in the United States,Same-sex marriage in France,https://en.wikipedia.org/wiki/Same-sex_unions_in_the_United_States,https://en.wikipedia.org/wiki/Same-sex_marriage_in_France
We should legalize same sex marriage,"A May 2011 Gallup Poll also showed majority support for same-sex marriage, 53% in favor to 45% opposed.","January 19, 2005: The Louisiana Supreme Court reinstated the state constitutional amendment banning same-sex marriage [REF].",2,significant/unsignificant percentage,Public opinion of same-sex marriage in the United States,Same-sex marriage law in the United States by state,https://en.wikipedia.org/wiki/Public_opinion_of_same-sex_marriage_in_the_United_States,https://en.wikipedia.org/wiki/Same-sex_marriage_law_in_the_United_States_by_state
We should fight for Palestinian independence,"Presidents Clinton and George W. Bush publicly supported the creation of a new Palestinian state out of most of the current Palestinian territories, based on the idea of self-determination for the Palestinian people,[REF] and Obama has continued that policy [REF].","In the wake of the legislation, some Jewish leaders expressed concern ""about the degree to which the Texas Republican, an evangelical Christian who opposes the creation of a Palestinian state, will go to undercut American and Israeli attempts to achieve a two-state solution.""[REF] .",1,One Evidence has a more specific and validated source ,Peace process in the Israeli–Palestinian conflict,Tom DeLay,https://en.wikipedia.org/wiki/Peace_process_in_the_Israeli–Palestinian_conflict,https://en.wikipedia.org/wiki/Tom_DeLay
We should abolish homework,"By the end of the Cold War in the early 1990s, the consensus in American education was overwhelmingly in favor of issuing homework to students of all grade levels [REF].","More recently, Kohn has been critical of the place homework holds in the American classroom, noting that research does not support claims of any benefit to homework, academically or otherwise.",2,Research based Vs. opinion,Homework,Alfie Kohn,https://en.wikipedia.org/wiki/Homework,https://en.wikipedia.org/wiki/Alfie_Kohn
We should further exploit nuclear power,"Jacobson's analyses show that ""nuclear power results in up to 25 times more carbon emissions than wind energy, when reactor construction, uranium refining and transport are considered"" [REF].","Kristin Shrader-Frechette has said ""if reactors were safe, nuclear industries would not demand government-guaranteed, accident-liability protection, as a condition for their generating electricity"" [REF].",2, The evidence 1 contains actual data from the study,Mark Z. Jacobson,Nuclear safety,https://en.wikipedia.org/wiki/Mark_Z._Jacobson,https://en.wikipedia.org/wiki/Nuclear_safety
We should ban human cloning,"Vorilhon told lawmakers that banning the development of human cloning was comparable to outlawing medical advances such ""antibiotics, blood transfusions, and vaccines.""[REF] .",Biden supports federal funding for embryonic stem cell research and voted to expand development and voted against a 1998 ban on human cloning.,2, Expert opinion ,Raëlian beliefs and practices,Political positions of Joe Biden,https://en.wikipedia.org/wiki/Raëlian_beliefs_and_practices,https://en.wikipedia.org/wiki/Political_positions_of_Joe_Biden
We should ban human cloning,"The U.N. General Assembly then voted on a nonbinding resolution, calling upon all nations to ""prohibit all forms of human cloning inasmuch as they are incompatible with human dignity and the protection of human life.""","New Jersey's 2004 S1909/A2840 specifically permitted human cloning for the purpose of developing and harvesting human stem cells, and Missouri's 2006 Amendment Two legalized certain forms of embryonic stem cell research in the state.",2,Trustworthy source (e.g. U.N. General Assembly etc.),Genetics Policy Institute,Stem cell laws,https://en.wikipedia.org/wiki/Genetics_Policy_Institute,https://en.wikipedia.org/wiki/Stem_cell_laws
We should increase ecotourism,"Eco-tourism is by far the most important source of tourism income in La Paz as people come to enjoy its marine wonders, as well as its diverse and often unique terrestrial species endemic to the region.","Eco-tourism is the most viable and sustainable option for the forests of Kwazulu-Natal, and several government, private and non-government projects to ensure this are underway or in the planning stages [REF].",2,Good example/precedent ' important source of tourism income in La Paz',"La Paz, Baja California Sur",Forests of KwaZulu-Natal,"https://en.wikipedia.org/wiki/La_Paz,_Baja_California_Sur",https://en.wikipedia.org/wiki/Forests_of_KwaZulu-Natal
We should introduce compulsory voting,Belgium has compulsory voting and thus holds one of the highest rates of voter turnout in the world [REF].,"Apart from the increased turnout as a value in itself, Lijphart lists other advantages to compulsory voting.",2,Good example/precedent ,Belgium,Compulsory voting,https://en.wikipedia.org/wiki/Belgium,https://en.wikipedia.org/wiki/Compulsory_voting
We should protect endangered species,"Congress has spoken in the plainest words, making it clear that endangered species are to be accorded the highest priorities.","Passed in 1973, this act sought to protect endangered species from the negative effects of anthropogenic actions.",1,"unrevealed sources in bought candidates (Congress, this act)",Snail darter controversy,Hydropower policy in the United States,https://en.wikipedia.org/wiki/Snail_darter_controversy,https://en.wikipedia.org/wiki/Hydropower_policy_in_the_United_States
We should ban the sale of violent video games to minors,"According to some research, adolescents who play relatively more violent video games are involved in more fights and get into more arguments than peers who play fewer such games [REF].","Despite the inconclusive nature of the scientific results, a number of groups have rejected violent video games as offensive and have promoted the development of non-violent alternatives.",2,Referred to research/data (e.g. According to some research),Adolescence,Nonviolent video game,https://en.wikipedia.org/wiki/Adolescence,https://en.wikipedia.org/wiki/Nonviolent_video_game
We should legalize the growing of coca leaf,"Addiction or other deleterious effects from the consumption of the leaf in its natural form have not been documented in over a 5,000 year time spand,thus leading to the logical conclusion that coca left in its natural form causes no addictive properties at all [REF].","In 1609, Padre Blas Valera wrote: Coca protects the body from many ailments, and our doctors use it in powdered form to reduce the swelling of wounds, to strengthen broken bones, to expel cold from the body or prevent it from entering, and to cure rotten wounds or sores that are full of maggots.",2,Referred to research/data 'not been documented',Coca,Cocaine,https://en.wikipedia.org/wiki/Coca,https://en.wikipedia.org/wiki/Cocaine
We should legalize the growing of coca leaf,"In recent times (2006), the governments of several South American countries, such as Peru, Bolivia and Venezuela, have defended and championed the traditional use of coca, as well as the modern uses of the leaf and its extracts in household products such as teas, toothpaste and condoms.","Furthermore, indigenous cultures living in the Altiplano, such as the Aymaras, use the coca leaf (which they dub the ""millenary leaf"") in many of their cultural traditions, notably for its medicinal qualities in alleviating the feeling of hunger, fatigue and headaches symptomatic of altitude sicknesses.",2,"Hard to decide. Although bought candidates are examples of the use and promotion of  the use of coca, there's not strong enough evidence of the good or harm of it",Coca,Coca eradication,https://en.wikipedia.org/wiki/Coca,https://en.wikipedia.org/wiki/Coca_eradication